Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"","الإعجاز اللغوي للقرآن (PK Jafar Hudawi) @ LT-06","","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","دراسة تحليلية للأبواب المختارة من صحيح مسلم (CT Muhammed Raees Hudawi) @ LT-19","","",""
Sunday,"موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","دراسة تحليلية للأبواب المختارة من صحيح مسلم (CT Muhammed Raees Hudawi) @ LT-19","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","","","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09"
Monday,"","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","دراسة تحليلية للأبواب المختارة من صحيح مسلم (CT Muhammed Raees Hudawi) @ LT-19","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","","","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09"
Tuesday,"دراسة تحليلية للأبواب المختارة من صحيح مسلم (CT Muhammed Raees Hudawi) @ LT-19","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","الإعجاز اللغوي للقرآن (PK Jafar Hudawi) @ LT-06","","موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","","",""
Wednesday,"","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","الإعجاز اللغوي للقرآن (PK Jafar Hudawi) @ LT-06","","","موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09"
Thursday,"الإعجاز اللغوي للقرآن (PK Jafar Hudawi) @ LT-06","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09","","","","موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","Organisational Behaviour (PK Jafar Hudawi) @ LT-12",""
