Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"","	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","مناسبات القرآن (CH Shareef Hudawi) @ LT-01","قراءة نصية من صحيح مسلم (P Abdu Shakoor Hudawi) @ LT-08","Divine Reality (P Abdu Rasheed Hudawi) @ LT-15","دراسة تحليلية للأبواب المختارة من صحيح البخارى (PK Jafar Hudawi) @ LT-18","","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08"
Sunday,"","Divine Reality (P Abdu Rasheed Hudawi) @ LT-15","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","دراسة تحليلية للأبواب المختارة من صحيح البخارى (PK Jafar Hudawi) @ LT-18","قراءة نصية من صحيح مسلم (P Abdu Shakoor Hudawi) @ LT-08","Media Ethics and Laws (Salim Hudawi) @ LT-08","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08",""
Monday,"دراسة تحليلية للأبواب المختارة من صحيح البخارى (PK Jafar Hudawi) @ LT-18","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","Divine Reality (P Abdu Rasheed Hudawi) @ LT-15","قراءة نصية من صحيح مسلم (P Abdu Shakoor Hudawi) @ LT-08","","Media Ethics and Laws (Salim Hudawi) @ LT-08","","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08"
Tuesday,"","قراءة نصية من صحيح مسلم (P Abdu Shakoor Hudawi) @ LT-08","	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","","","مناسبات القرآن (CH Shareef Hudawi) @ LT-01","Media Ethics and Laws (Salim Hudawi) @ LT-08",""
Wednesday,"","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","مناسبات القرآن (CH Shareef Hudawi) @ LT-01","دراسة تحليلية للأبواب المختارة من صحيح البخارى (PK Jafar Hudawi) @ LT-18","","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08","Media Ethics and Laws (Salim Hudawi) @ LT-08"
Thursday,"	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","","","","مناسبات القرآن (CH Shareef Hudawi) @ LT-01","","Organisational Behaviour (PK Jafar Hudawi) @ LT-12",""
