Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"","","مناسبات القرآن (Salim Hudawi) @ LT-02","Introduction to Institution Leadership and Management (KK Musthafa Hudawi) @ LT-18","","","",""
Sunday,"موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (Shuhaib Hudawi Puthur) @ LT-07","","","","","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09"
Monday,"","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (Shuhaib Hudawi Puthur) @ LT-07","","Introduction to Institution Leadership and Management (KK Musthafa Hudawi) @ LT-18","دراسة تحليلية للأبواب المختارة من صحيح مسلم (EK Aboobaker Faizy) @ LT-10","Research Methodology (P Abdu Rasheed Hudawi) @ LT-09","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-16","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09"
Tuesday,"","Introduction to Institution Leadership and Management (KK Musthafa Hudawi) @ LT-18","","دراسة تحليلية للأبواب المختارة من صحيح مسلم (EK Aboobaker Faizy) @ LT-10","موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","مناسبات القرآن (Salim Hudawi) @ LT-02","Research Methodology (P Abdu Rasheed Hudawi) @ LT-15",""
Wednesday,"دراسة تحليلية للأبواب المختارة من صحيح مسلم (EK Aboobaker Faizy) @ LT-10","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (Shuhaib Hudawi Puthur) @ LT-07","","مناسبات القرآن (Salim Hudawi) @ LT-02","","موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09"
Thursday,"","Issues in Religious Pluralism (P Abdu Rasheed Hudawi) @ LT-09","","دراسة تحليلية للأبواب المختارة من صحيح مسلم (EK Aboobaker Faizy) @ LT-10","مناسبات القرآن (Salim Hudawi) @ LT-02","موقف العقل والعلم والعالم (Dr. Hashim Nadwi) @ LT-12","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (Shuhaib Hudawi Puthur) @ LT-07",""
