Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"PHILOSOPHICAL & SOCIOLOGICAL FOUNDATIONS OF EDUCATION (Shafeeq Hudawi Karimukku) @ LT-19","الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","علم الفرائض من مغني المحتاج  (Salim Hudawi) @ LT-11","History and Methods of Compiling Sunnah (Unais Hidaya Hudawi) @ LT-13","POLICY PERSPECTIVES IN EDUCATION (Musawir Hudawi) @ LT-19","POLICY PERSPECTIVES IN EDUCATION (Musawir Hudawi) @ LT-19"
Sunday,"","علم الفرائض من مغني المحتاج  (Salim Hudawi) @ LT-11","Organisational Behaviour (Dr. Noufal Hudawi Mala) @ LT-14","History and Methods of Compiling Sunnah (Unais Hidaya Hudawi) @ LT-13","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","POLICY PERSPECTIVES IN EDUCATION (Musawir Hudawi) @ LT-19","POLICY PERSPECTIVES IN EDUCATION (Musawir Hudawi) @ LT-19","PHILOSOPHICAL & SOCIOLOGICAL FOUNDATIONS OF EDUCATION (Shafeeq Hudawi Karimukku) @ LT-19"
Monday,"History and Methods of Compiling Sunnah (Unais Hidaya Hudawi) @ LT-13","Organisational Behaviour (Dr. Noufal Hudawi Mala) @ LT-14","علم الفرائض من مغني المحتاج  (Salim Hudawi) @ LT-11","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","","","PHILOSOPHICAL & SOCIOLOGICAL FOUNDATIONS OF EDUCATION (Shafeeq Hudawi Karimukku) @ LT-19",""
Tuesday,"علم الفرائض من مغني المحتاج  (Salim Hudawi) @ LT-11","الدراسات المعاصرة للقرآن الكريم (Shuhaib Hudawi Puthur) @ LT-04","الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","","","","",""
Wednesday,"","Organisational Behaviour (Dr. Noufal Hudawi Mala) @ LT-14","الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","","History and Methods of Compiling Sunnah (Unais Hidaya Hudawi) @ LT-13","","",""
Thursday,"الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","","PHILOSOPHICAL & SOCIOLOGICAL FOUNDATIONS OF EDUCATION (Shafeeq Hudawi Karimukku) @ LT-19","","","","Organisational Behaviour (Dr. Noufal Hudawi Mala) @ LT-14",""
