Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"","الإعلام  في مناقب الإسلام (MK Abdul Wahab Hudawi) @ LT-13","","الدراسات المعاصرة للقرآن الكريم (MKM Jabirali Hudawi) @ LT-02","","دراسة تحليلية للأبواب المختارة من صحيح البخارى (KC Muhammed Baqawi) @ LT-02","",""
Sunday,"","","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (AP Mustafa Hudawi) @ LT-06","دراسة تحليلية للأبواب المختارة من صحيح البخارى (KC Muhammed Baqawi) @ LT-02","الدراسات المعاصرة للقرآن الكريم (MKM Jabirali Hudawi) @ LT-02","","",""
Monday,"دراسة تحليلية للأبواب المختارة من صحيح البخارى (KC Muhammed Baqawi) @ LT-02","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (AP Mustafa Hudawi) @ LT-06","","الدراسات المعاصرة للقرآن الكريم (MKM Jabirali Hudawi) @ LT-02","","","قضايا في التصوف (Basheer Hudawi) @ LT-07",""
Tuesday,"","الدراسات المعاصرة للقرآن الكريم (MKM Jabirali Hudawi) @ LT-02","الإعلام  في مناقب الإسلام (MK Abdul Wahab Hudawi) @ LT-13","Classical Muslim Scholarship in Social Sciences (Sabith Hudawi) @ LT-19","","","","قضايا في التصوف (Basheer Hudawi) @ LT-07"
Wednesday,"Classical Muslim Scholarship in Social Sciences (Sabith Hudawi) @ LT-19","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (AP Mustafa Hudawi) @ LT-06","الإعلام  في مناقب الإسلام (MK Abdul Wahab Hudawi) @ LT-13","","دراسة تحليلية للأبواب المختارة من صحيح البخارى (KC Muhammed Baqawi) @ LT-02","","قضايا في التصوف (Basheer Hudawi) @ LT-07",""
Thursday,"الإعلام  في مناقب الإسلام (MK Abdul Wahab Hudawi) @ LT-13","","","Classical Muslim Scholarship in Social Sciences (Sabith Hudawi) @ LT-19","","","قراءة نصية لتحفة المحتاج مع التركيز على اصطلاحات المذهب (AP Mustafa Hudawi) @ LT-06","قضايا في التصوف (Basheer Hudawi) @ LT-07"
