Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"Print Media: Journalism and Reporting (Mansoor Hudawi Mavoor) @ LT-08","	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","","Introduction to Institution Leadership and Management (Abdul Hakeem Hudawi) @ LT-14","علم أسرار الشريعة (حجة الله البالغة) (Ameer Husain Hudawi) @ LT-14","الإعجاز اللغوي للقرآن (Dr. Hashim Nadwi) @ LT-17","Print Media: Journalism and Reporting (Mansoor Hudawi Mavoor) @ LT-08","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08"
Sunday,"","علم أسرار الشريعة (حجة الله البالغة) (Ameer Husain Hudawi) @ LT-14","قراءة نصية من صحيح البخارى (P Muhammed Ishaq Baqawi) @ LT-01","الإعجاز اللغوي للقرآن (Dr. Hashim Nadwi) @ LT-17","Introduction to Institution Leadership and Management (Abdul Hakeem Hudawi) @ LT-14","","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08",""
Monday,"الإعجاز اللغوي للقرآن (Dr. Hashim Nadwi) @ LT-17","قراءة نصية من صحيح البخارى (P Muhammed Ishaq Baqawi) @ LT-01","علم أسرار الشريعة (حجة الله البالغة) (Ameer Husain Hudawi) @ LT-14","Introduction to Institution Leadership and Management (Abdul Hakeem Hudawi) @ LT-14","","","","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08"
Tuesday,"","","	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","","","","","Print Media: Journalism and Reporting (Mansoor Hudawi Mavoor) @ LT-08"
Wednesday,"","قراءة نصية من صحيح البخارى (P Muhammed Ishaq Baqawi) @ LT-01","	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","","الإعجاز اللغوي للقرآن (Dr. Hashim Nadwi) @ LT-17","","Digital Technology in Print Media  (Mohammed Abdu Rahoof Hudawi) @ LT-08",""
Thursday,"	فقه المذاهب (الحنفي, المالكي, الحنبلي) (Ameer Husain Hudawi) @ LT-18","","Print Media: Journalism and Reporting (Mansoor Hudawi Mavoor) @ LT-08","","","","قراءة نصية من صحيح البخارى (P Muhammed Ishaq Baqawi) @ LT-01",""
