Day/Period,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8
Saturday,"Introduction to Societal Development  (CT Muhammed Raees Hudawi) @ LT-20","الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","","الدراسات المعاصرة للقرآن الكريم (Dr. MKM Jabirali Hudawi) @ LT-12","علم الفرائض من مغني المحتاج  (KC Muhammed Baqawi) @ LT-09","","Philosophy & Methods of Social Work (Ashiq Ali Hudawi) @ LT-18","Philosophy & Methods of Social Work (Ashiq Ali Hudawi) @ LT-18"
Sunday,"قراءة نصية من صحيح مسلم (EK Aboobaker Faizy) @ LT-02","علم الفرائض من مغني المحتاج  (KC Muhammed Baqawi) @ LT-09","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","","الدراسات المعاصرة للقرآن الكريم (Dr. MKM Jabirali Hudawi) @ LT-05","Research Methodology (Ashiq Ali Hudawi) @ LT-20","Philosophy & Methods of Social Work (Ashiq Ali Hudawi) @ LT-18","Philosophy & Methods of Social Work (Ashiq Ali Hudawi) @ LT-18"
Monday,"","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","علم الفرائض من مغني المحتاج  (KC Muhammed Baqawi) @ LT-09","الدراسات المعاصرة للقرآن الكريم (Dr. MKM Jabirali Hudawi) @ LT-05","","Introduction to Societal Development  (CT Muhammed Raees Hudawi) @ LT-18","",""
Tuesday,"علم الفرائض من مغني المحتاج  (KC Muhammed Baqawi) @ LT-09","الدراسات المعاصرة للقرآن الكريم (Dr. MKM Jabirali Hudawi) @ LT-05","","","قراءة نصية من صحيح مسلم (EK Aboobaker Faizy) @ LT-02","","Introduction to Societal Development  (CT Muhammed Raees Hudawi) @ LT-17",""
Wednesday,"","Organisational Behaviour (PK Jafar Hudawi) @ LT-12","الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","","","قراءة نصية من صحيح مسلم (EK Aboobaker Faizy) @ LT-02","","Introduction to Societal Development  (CT Muhammed Raees Hudawi) @ LT-20"
Thursday,"الإعلام  في مناقب الإسلام (Dr. Hashim Nadwi) @ LT-14","Research Methodology (Ashiq Ali Hudawi) @ LT-20","","","","قراءة نصية من صحيح مسلم (EK Aboobaker Faizy) @ LT-02","",""
